City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
395,Aliaga,PH,15.5167,120.8667,81.9,81,91,3.4,overcast clouds
396,Contamana,PE,-7.3333,-75.0167,73.08,98,99,0.87,overcast clouds
397,Maldonado,UY,-34.6667,-54.9167,47.59,89,52,3.4,broken clouds
398,Save,BJ,8.0425,2.486,70.25,88,53,5.1,broken clouds
399,Clyde River,CA,70.4692,-68.5914,37.63,87,75,9.22,broken clouds
400,Luganville,VU,-15.5333,167.1667,82.85,70,45,11.56,scattered clouds
401,Necochea,AR,-38.5473,-58.7368,41.79,79,26,7.23,scattered clouds
402,Tongliao,CN,43.6125,122.2653,74.97,75,98,8.25,overcast clouds
403,Kaman,IN,27.65,77.2667,90.09,56,63,5.77,broken clouds
404,Ust-Kut,RU,56.7938,105.7672,59.77,90,100,3.76,light rain
405,Syracuse,IT,37.0881,15.2792,78.39,57,0,2.77,clear sky
406,Saldanha,ZA,-33.0117,17.9442,50.05,79,0,10.49,clear sky
407,Wilmington,US,34.2257,-77.9447,84.11,76,20,12.66,few clouds
408,Juba,SS,4.8517,31.5825,69.12,98,100,4.43,light rain
409,Milkovo,RU,54.7167,158.6167,78.89,53,8,2.21,clear sky
410,Arbagar,RU,51.9438,116.2805,69.71,54,0,1.7,clear sky
411,Alta Floresta,BR,-9.8756,-56.0861,74.68,36,2,3.38,clear sky
412,Nizwa,OM,22.9333,57.5333,83.3,66,73,2.51,broken clouds
413,Warman,CA,52.3168,-106.5679,82.31,51,75,10.36,broken clouds
414,Severomuysk,RU,56.1481,113.4267,58.19,67,4,2.28,clear sky
415,Falkenstein,DE,50.4779,12.3713,66.61,53,90,10.0,overcast clouds
416,Mandalgovi,MN,45.7625,106.2708,70.03,35,91,15.23,overcast clouds
