City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
398,Save,BJ,70.25,broken clouds,8.0425,2.486,Le Cercle du Rail
400,Luganville,VU,82.85,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
402,Tongliao,CN,74.97,overcast clouds,43.6125,122.2653,Meirujia Hotel
405,Syracuse,IT,78.39,clear sky,37.0881,15.2792,Hotel Posta
407,Wilmington,US,84.11,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
409,Milkovo,RU,78.89,clear sky,54.7167,158.6167,"Hotel ""Geologist"""
411,Alta Floresta,BR,74.68,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
412,Nizwa,OM,83.3,broken clouds,22.9333,57.5333,Orient Apartments
413,Warman,CA,82.31,broken clouds,52.3168,-106.5679,Days Inn & Suites by Wyndham Warman Legends Centre
416,Mandalgovi,MN,70.03,overcast clouds,45.7625,106.2708,В.Ганбат
417,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
420,Dauphin,CA,82.54,clear sky,51.1494,-100.0502,Canway Inn & Suites
424,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
426,Itarema,BR,78.26,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
427,Santa Cruz,BO,73.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
429,Acapulco,MX,84.24,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
432,Sokoni,TZ,75.63,clear sky,-6.4333,39.55,Ujamaa Beach Resort
434,Prainha,BR,77.14,broken clouds,-1.8,-53.48,Casa Rocha
437,Sibolga,ID,77.04,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
438,Summerville,US,84.97,broken clouds,33.0185,-80.1757,Hampton Inn Summerville
439,Sao Filipe,CV,76.5,few clouds,14.8961,-24.4956,Hotel Xaguate
441,Yamada,JP,74.32,overcast clouds,39.4667,141.95,Iroha-ya Inn
